,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,num_states,state_variance,1_day_max_reviews,star_variance
bv2nCi5Qv5vroFiqKGopiw,0.006075757937774817,0.007245570659842229,0.20947438484689804,0.4330543901640589,0.34455131131809547,0.48274375804498765,0.42953872196208687,0.403596275066867,0.40607597644489735,0.3765658239326415,0.42303577162131994,0.3168062734724024,0.4859049865790067,0.4938663354743256,0.45338867578388337,0.44699191752482426,0.3070504562856907,0.47534007842737913,0.4615432464862371,0.4497388111025387,0.48830968276617176,0.3997411272384609,0.48628482804696804,0.33143890280597543,0.3044362444754524,0.45486829946173707,0.48438438136698586,0.3262269750567557,0.44504381858584746,0.35351084502911667,0.36494651940895345,0.390750997842802,0.4345082125973554,0.2754698817549317,0.49325620677384197,0.3343669512673626,0.5067178572183356,0.46282395526507414,0.45115216560734617,0.3808521996402776,0.43752569657461404,0.4938540191022626,0.4806338620856609,0.35109939963053055,0.3806970693006319,0.5142793979643393,0.43292208407924976,0.35274929130111476,0.4628853319293417,0.4713552987926307,0.08695652173913043,0.0,0.06000000000000001,0.0
_4iMDXbXZ1p1ONG297YEAQ,0.001154932213909922,0.0072389657713314,0.20798879553204133,0.43396785574306757,0.34681134509083056,0.4815498254793622,0.42505855556491673,0.40051538927371205,0.40802279615068154,0.3767765120874655,0.4228958064217487,0.32105688523982345,0.4864003782061918,0.4926437180792052,0.45233679157869267,0.45088960152588237,0.30967936276022234,0.4759921036568325,0.4603795220629235,0.44578753190777654,0.486200967457671,0.4090481761263453,0.47744345377774766,0.33000858239562575,0.30732210720548764,0.45309278386059587,0.4892202946490834,0.32799726621179015,0.44651375846607916,0.3574298302889489,0.37050887026428414,0.3956282441953559,0.4295883102147747,0.27001253383978147,0.49534027934233993,0.341166556552718,0.4982919222294658,0.46752141885959664,0.4516293964157569,0.37029312344355186,0.43454472291725477,0.4934978388506065,0.47751859740739294,0.3502000420566927,0.3809914805089664,0.493898612517696,0.43212559008622164,0.3498401587108615,0.47551581349070854,0.499561233304717,0.0,0.0,0.0,0.0
u0LXt3Uea_GidxRW1xcsfg,0.1625523457050201,0.006195719324580835,0.20574059447944462,0.36900923451800144,0.2926522059936205,0.4822755645547801,0.49981654338196585,0.42431060689437394,0.4506303236297641,0.3841567823477083,0.45613513980133097,0.2940925745582935,0.548595329564033,0.5062248906432711,0.4188912419454526,0.39438068260278036,0.23311273911591074,0.4940434458525104,0.370716608593656,0.45986984299887207,0.5244572952816388,0.33872993025784814,0.5962732094390553,0.3687467764484623,0.41077079530155075,0.3547349071215936,0.49536622396157753,0.2846857893076823,0.332743442253403,0.4281796902204975,0.47235220021568863,0.3445542520452505,0.520540639385502,0.21767693895659074,0.6353739446267431,0.3354175086775236,0.06784320925632575,0.4937357006427696,0.7195525596943882,0.3956735547880321,0.3064847745132977,0.6806461795575145,0.35749897175484063,0.603734004779852,0.8420097951946932,0.9736627964233249,0.5406421849376135,0.5592313727402725,0.49156316944678863,0.5019679750279439,0.13043478260869568,0.3333333333333333,0.321875,0.3193750000000001
nsOf58RZjMTn8V94EQYJog,0.0007264636674882627,0.007216908569202383,0.208330657960193,0.4350852333335589,0.3452424350952909,0.48090568979148685,0.4267314018600274,0.40087314348902614,0.4088468493599534,0.3772149654459113,0.4216863545757313,0.3191087722982915,0.48272099240031896,0.4922892925765756,0.4575977078323545,0.4491162705796348,0.30750706487577656,0.4774364395110936,0.45865556049098705,0.4438797339151307,0.487470117680696,0.40376367494823506,0.47949251698394124,0.3265825264494363,0.30705102591032507,0.45794822622234105,0.48669726719672185,0.33109949223223756,0.44799594035447765,0.3562789955044997,0.37060770506286095,0.3959260775926214,0.42926466779969186,0.27182449460678765,0.4936901682113812,0.34182736248195394,0.49416379509317754,0.46876470815869864,0.45486468525874413,0.3712540937535693,0.4318319242346076,0.49624750471588286,0.4792588110219858,0.3497041470060535,0.38465731134259495,0.49572592275155875,0.4342981030509927,0.34459175284128574,0.4634822737310345,0.49857921675036077,0.0,0.0,0.0,0.0
r9HwWzRRd0EvcwnDX9TLTg,0.002804277950760742,0.007307252058305362,0.2072694453817981,0.4319931490101544,0.34414457528383013,0.48046496679721107,0.42300017584626726,0.40133539444579125,0.40780036016304017,0.3756114319051208,0.42177886690007504,0.3173424543270563,0.4841292279021767,0.4894812964259414,0.4571065345565263,0.4512877150794238,0.3050966981697094,0.48139222055447084,0.4600591882158233,0.4444042471114665,0.48772123328545886,0.4020034047874247,0.4811300285531561,0.3256763443896612,0.30177810179172143,0.45382136378886884,0.48559518744195457,0.3323822043778893,0.452978920294981,0.34804609707051043,0.37418907688939307,0.40135931315157775,0.4350493605369776,0.27261840330756393,0.49297596733283283,0.3411095619510185,0.5030170073817436,0.46828889468194373,0.45047110166037024,0.36579780209695806,0.4320495250418845,0.49221310225623155,0.46828218775751373,0.3451135863994526,0.3817931118236535,0.4927492709566939,0.4360362394384041,0.35677552165834203,0.4485187059320952,0.49378189586930127,0.0,0.0,1.0,0.0
_L2SZSwf7A6YSrIHy_q4cw,0.0069772417271511435,0.0071812220039244035,0.20642864554616006,0.4290799941973968,0.3423622250906481,0.4841567828172263,0.42638826789353357,0.40662108955299187,0.40644458378765896,0.3783438711039864,0.4220793357930753,0.3240638330823153,0.47998768670981296,0.49141649649270835,0.45120341450498636,0.4521861981490817,0.3018129506468136,0.48271811781014273,0.468545225299581,0.44611875877125323,0.4874742025891473,0.4021126173679718,0.47632145878977955,0.3214117613991987,0.303593598886489,0.45457307175015055,0.4857412297036615,0.33021629397622837,0.4541918016114821,0.3519016719154173,0.36936426156693003,0.3975832748836909,0.4327524471126452,0.27467887580780787,0.4939321079875352,0.3547894040452533,0.5146156406284411,0.4658022998648169,0.444788010162347,0.36205037435903253,0.45307542731913564,0.49758164694153534,0.4720176509887859,0.36001458502277,0.3762878447468598,0.5031470855329594,0.430900688087932,0.33373670263960586,0.4727513898059125,0.49167983476497407,0.06521739130434782,0.0,0.06000000000000001,0.0
ssuXFjkH4neiBgwv-oN4IA,0.00484088112955006,0.007246184664282607,0.2083810786903354,0.4338933937994883,0.3441308030010261,0.47990845179729197,0.4245611487301579,0.3990109760008539,0.40777879057808086,0.3793300472340283,0.42204174932072713,0.3159493219775271,0.48450677875652803,0.49421598391310173,0.45560025289083356,0.45374191972811523,0.30678920213612365,0.4803508137551593,0.4549611454517984,0.4488445603406462,0.4897093628354596,0.401184066710419,0.4839892051906394,0.32306854867208673,0.3011829589922712,0.45460590447931265,0.48857812407313894,0.338193242651358,0.46087953694554856,0.3532269837985956,0.38478776466363973,0.4036374964016123,0.41999298250386913,0.2585699785973057,0.4925310951394126,0.34252890218053633,0.49519206611927513,0.4723712819009372,0.45491600537172316,0.3729818317573142,0.4254598492932294,0.4835961751812678,0.47685724930366064,0.35030778371528615,0.38211492992688395,0.484014870694483,0.44923733552131184,0.34949466925465206,0.47358468476554444,0.5012153641554323,0.021739130434782608,0.0,0.0,0.0
xJbxpra6iyCsph35Pt0cZg,0.000728241237309319,0.007232190196030237,0.2079254017120838,0.434280249968005,0.3449424606163805,0.48187740432041537,0.42632114154966644,0.4013699801270729,0.40691282727446604,0.3792987267498489,0.42185489415433863,0.3188564654825901,0.483628538830797,0.49357351616225975,0.45546073687889804,0.44932016447804735,0.3055195239070806,0.4781981001322793,0.4594130281206957,0.44546481920499864,0.48713452579850797,0.40165986572400636,0.4793082801434134,0.32846496934408353,0.3054464639838276,0.45437342082366594,0.4851088026348006,0.328781746503632,0.4479483328284657,0.3548056115730947,0.3685752872043613,0.39948916460340994,0.43183276207830507,0.26892220861899657,0.4932786280882054,0.3386452150437777,0.4961507371774803,0.4727554021812928,0.45666149306712334,0.37025825373703325,0.43366620776317893,0.49193280294074904,0.4772019144937289,0.35136835582271647,0.38093520031824596,0.4963578203600409,0.4360783501418792,0.34913071899211345,0.46292246721790353,0.4966513390887697,0.0,0.0,0.0,0.0
nOTl4aPC4tKHK35T3bNauQ,0.6135003673377813,0.0011004750497558072,0.16774593387710834,0.2845596612327049,0.2727430089343035,0.5886086948252434,1.0,0.35319928562600345,0.5942264124574768,0.46582807128714987,0.456602454258523,0.3362334028421996,0.5621424411430044,0.49545633974424164,0.9286244303729196,0.7813895991921107,0.03612890980401179,0.6364585501598528,0.3470358608306846,1.0,0.566248690178636,0.7546081888021778,0.5753272716173824,0.6402670296177684,0.0038052916093670452,0.4715449445360248,0.5472681507791437,0.3700056301078378,0.7429702346099609,0.4166775713807775,0.0,0.45276027718469986,0.45091832907632234,0.24683043352742873,0.5287009227649518,0.2833071930082472,0.4313307140269391,0.4257565601089061,0.31503305474324944,0.2837516596602377,0.47693480597933346,0.44856488180148885,0.46981560526770283,0.2952931055808376,0.37308892626031087,0.5001075327525831,0.3990779744043478,0.32356275840733645,0.4322908508380567,0.479146139602432,0.08695652173913043,0.6666666666666667,0.3340192043895748,0.25080018289894834
PWKrsnhlNUN6_oMaQAIajQ,0.0010186034498583345,0.007241876489215484,0.2081291572201303,0.43371021157133777,0.3450825583922836,0.48205333827423325,0.4255934164507658,0.40344430481149934,0.40695586628796765,0.3782329290302694,0.4218501218902015,0.31764202340373243,0.4838446679569752,0.4940376234976188,0.45435311556117824,0.4491127820745037,0.3049006453453155,0.47969448227982425,0.45919656984920393,0.4460930232771533,0.4861690287717655,0.40124116885510713,0.48182634374787753,0.32791332445954396,0.3042938734173526,0.45200635623565494,0.4835090219108511,0.32932568839551873,0.44816572277863875,0.35228355602327,0.366679427252997,0.3973970059140712,0.4307253885809422,0.2669006113577789,0.49336226410862166,0.3405800552745884,0.49850538717446286,0.473064061031357,0.45404834474020994,0.3731028412173907,0.4319610469250478,0.4889349570388941,0.4760003537067622,0.35291929993632476,0.3790278115751913,0.5050682435616941,0.432798450326989,0.3452772514489868,0.46490989802355565,0.49011438814750363,0.0,0.0,0.0,0.0
